iobj, iorder, itetris, X, Y, L, Ycen
0, 0, 2, 1002.070, 107.782, 4181.8836, 307.465 
0, 0, 2, 1021.940, 108.490, 4182.9342, 307.465 
0, 0, 2, 1033.540, 108.896, 4183.5645, 307.465 
0, 0, 2, 1043.830, 109.252, 4184.1376, 307.465 
0, 0, 2, 1068.680, 110.095, 4185.4693, 307.465 
0, 0, 2, 1100.000, 111.122, 4187.1410, 307.465 
0, 0, 2, 1167.000, 113.182, 4190.7129, 307.465 
0, 0, 2, 1172.990, 113.358, 4191.0294, 307.465 
0, 0, 2, 1198.140, 114.077, 4192.3620, 307.465 
0, 0, 2, 1210.940, 114.432, 4193.0164, 307.465 
0, 0, 2, 1264.800, 115.853, 4195.8326, 307.465 
0, 0, 2, 1312.260, 117.005, 4198.3170, 307.465 
0, 0, 2, 1357.970, 118.024, 4200.6745, 307.465 
0, 0, 2, 1382.930, 118.545, 4201.9715, 307.465 
0, 0, 2, 1509.800, 120.801, 4208.4108, 307.465 
0, 0, 2, 1519.360, 120.945, 4208.8907, 307.465 
0, 0, 2, 1550.710, 121.393, 4210.4554, 307.465 
0, 0, 2, 1560.150, 121.521, 4210.9232, 307.465 
0, 0, 2, 1638.890, 122.455, 4214.8285, 307.465 
0, 0, 2, 1664.210, 122.707, 4216.0698, 307.465 
0, 0, 2, 1669.900, 122.760, 4216.3722, 307.465 
0, 0, 2, 1691.870, 122.956, 4217.4308, 307.465 
0, 0, 2, 1717.230, 123.160, 4218.6649, 307.465 
0, 0, 2, 1746.090, 123.364, 4220.0651, 307.465 
0, 0, 2, 1759.550, 123.449, 4220.7323, 307.465 
0, 0, 2, 1799.440, 123.665, 4222.6373, 307.465 
0, 0, 2, 1816.130, 123.739, 4223.4403, 307.465 
0, 0, 2, 1832.980, 123.804, 4224.2413, 307.465 
0, 0, 2, 1890.850, 123.951, 4226.9876, 307.465 
0, 0, 2, 1915.750, 123.978, 4228.1580, 307.465 
0, 0, 2, 1952.330, 123.979, 4229.8644, 307.465 
0, 0, 2, 2026.380, 123.835, 4233.2873, 307.465 
1, 0, 4, 1002.080, 522.281, 4181.8836, 717.955 
1, 0, 4, 1021.940, 522.941, 4182.9342, 717.955 
1, 0, 4, 1033.620, 523.323, 4183.5645, 717.955 
1, 0, 4, 1043.930, 523.656, 4184.1376, 717.955 
1, 0, 4, 1068.680, 524.441, 4185.4693, 717.955 
1, 0, 4, 1100.020, 525.403, 4187.1410, 717.955 
1, 0, 4, 1167.000, 527.343, 4190.7129, 717.955 
1, 0, 4, 1172.990, 527.509, 4191.0294, 717.955 
1, 0, 4, 1210.940, 528.530, 4193.0164, 717.955 
1, 0, 4, 1247.740, 529.470, 4194.9361, 717.955 
1, 0, 4, 1264.840, 529.891, 4195.8326, 717.955 
1, 0, 4, 1312.260, 531.004, 4198.3170, 717.955 
1, 0, 4, 1357.980, 532.001, 4200.6745, 717.955 
1, 0, 4, 1382.930, 532.514, 4201.9715, 717.955 
1, 0, 4, 1509.730, 534.780, 4208.4108, 717.955 
1, 0, 4, 1519.370, 534.929, 4208.8907, 717.955 
1, 0, 4, 1550.650, 535.390, 4210.4554, 717.955 
1, 0, 4, 1560.150, 535.523, 4210.9232, 717.955 
1, 0, 4, 1638.880, 536.504, 4214.8285, 717.955 
1, 0, 4, 1664.220, 536.773, 4216.0698, 717.955 
1, 0, 4, 1669.850, 536.830, 4216.3722, 717.955 
1, 0, 4, 1691.860, 537.042, 4217.4308, 717.955 
1, 0, 4, 1717.230, 537.264, 4218.6649, 717.955 
1, 0, 4, 1746.080, 537.490, 4220.0651, 717.955 
1, 0, 4, 1759.570, 537.586, 4220.7323, 717.955 
1, 0, 4, 1799.450, 537.831, 4222.6373, 717.955 
1, 0, 4, 1816.060, 537.917, 4223.4403, 717.955 
1, 0, 4, 1832.970, 537.995, 4224.2413, 717.955 
1, 0, 4, 1890.850, 538.186, 4226.9876, 717.955 
1, 0, 4, 1936.220, 538.255, 4229.1477, 717.955 
1, 0, 4, 1972.060, 538.259, 4230.8242, 717.955 
