iobj iorder X Lambda Mask
000 00 1124.040 6138.6465 1
000 00 1212.390 6145.4411 1
000 00 1281.860 6150.6830 1
000 00 1299.130 6151.9929 1
000 00 1326.820 6154.0682 1
000 00 1332.780 6154.5162 1
000 00 1342.550 6155.2385 1
000 00 1346.870 6155.5810 1
000 00 1367.210 6157.0878 1
000 00 1424.900 6161.3534 1
000 00 1436.030 6162.1700 1
000 00 1467.490 6164.4796 1
000 00 1540.830 6169.8221 1
000 00 1545.590 6170.1740 1
000 00 1574.890 6172.2778 1
000 00 1586.320 6173.0964 1
000 00 1660.940 6178.4315 1
000 00 1681.050 6179.8488 1
000 00 1693.000 6180.7050 1
000 00 1720.210 6182.6217 1
000 00 1784.650 6187.1350 1
000 00 1798.960 6188.1251 1
000 00 1813.820 6189.1449 1
000 00 1853.660 6191.9053 1
000 00 1881.930 6193.8563 1
000 00 1903.980 6195.3210 0
000 00 1919.220 6196.3965 1
000 00 1946.360 6198.2227 1
000 00 1979.210 6200.4325 1
000 00 1989.130 6201.1002 1
000 00 2024.760 6203.4925 1
000 00 2034.340 6204.1281 1
001 00 1115.710 6138.6465 1
001 00 1204.160 6145.4411 1
001 00 1273.340 6150.6830 1
001 00 1290.710 6151.9929 1
001 00 1318.370 6154.0682 1
001 00 1324.180 6154.5162 0
001 00 1334.060 6155.2385 1
001 00 1338.440 6155.5810 1
001 00 1358.670 6157.0878 1
001 00 1416.290 6161.3534 1
001 00 1427.530 6162.1700 0
001 00 1458.770 6164.4796 1
001 00 1532.020 6169.8221 1
001 00 1536.960 6170.1740 1
001 00 1565.950 6172.2778 1
001 00 1577.390 6173.0964 1
001 00 1651.860 6178.4315 1
001 00 1672.090 6179.8488 0
001 00 1683.840 6180.7050 1
001 00 1711.020 6182.6217 1
001 00 1775.440 6187.1350 1
001 00 1789.660 6188.1251 1
001 00 1804.400 6189.1449 1
001 00 1844.320 6191.9053 1
001 00 1872.630 6193.8563 1
001 00 1893.900 6195.3210 0
001 00 1909.880 6196.3965 1
001 00 1936.690 6198.2227 1
001 00 1969.400 6200.4325 1
001 00 1979.420 6201.1002 1
001 00 2014.990 6203.4925 1
001 00 2041.570 6205.2561 1
