iobj, iorder, itetris, X, Y, L, Ycen
0, 0, 1, 1128.540, 68.153, 6138.6465, 88.555 
0, 0, 1, 1216.890, 70.383, 6145.4411, 88.555 
0, 0, 1, 1286.360, 71.950, 6150.6830, 88.555 
0, 0, 1, 1303.630, 72.313, 6151.9929, 88.555 
0, 0, 1, 1331.320, 72.872, 6154.0682, 88.555 
0, 0, 1, 1337.280, 72.989, 6154.5162, 88.555 
0, 0, 1, 1347.050, 73.178, 6155.2385, 88.555 
0, 0, 1, 1351.370, 73.260, 6155.5810, 88.555 
0, 0, 1, 1371.710, 73.638, 6157.0878, 88.555 
0, 0, 1, 1429.400, 74.629, 6161.3534, 88.555 
0, 0, 1, 1440.530, 74.806, 6162.1700, 88.555 
0, 0, 1, 1471.990, 75.282, 6164.4796, 88.555 
0, 0, 1, 1545.330, 76.247, 6169.8221, 88.555 
0, 0, 1, 1550.090, 76.303, 6170.1740, 88.555 
0, 0, 1, 1579.390, 76.628, 6172.2778, 88.555 
0, 0, 1, 1590.820, 76.746, 6173.0964, 88.555 
0, 0, 1, 1665.440, 77.398, 6178.4315, 88.555 
0, 0, 1, 1685.550, 77.539, 6179.8488, 88.555 
0, 0, 1, 1697.500, 77.616, 6180.7050, 88.555 
0, 0, 1, 1724.710, 77.771, 6182.6217, 88.555 
0, 0, 1, 1789.150, 78.034, 6187.1350, 88.555 
0, 0, 1, 1803.460, 78.073, 6188.1251, 88.555 
0, 0, 1, 1818.320, 78.105, 6189.1449, 88.555 
0, 0, 1, 1858.160, 78.154, 6191.9053, 88.555 
0, 0, 1, 1886.430, 78.156, 6193.8563, 88.555 
0, 0, 1, 1923.720, 78.117, 6196.3965, 88.555 
0, 0, 1, 1950.860, 78.060, 6198.2227, 88.555 
0, 0, 1, 1983.710, 77.959, 6200.4325, 88.555 
0, 0, 1, 1993.630, 77.922, 6201.1002, 88.555 
0, 0, 1, 2029.260, 77.761, 6203.4925, 88.555 
0, 0, 1, 2038.840, 77.712, 6204.1281, 88.555 
1, 0, 1, 1120.210, 139.510, 6138.6465, 160.064 
1, 0, 1, 1208.660, 141.762, 6145.4411, 160.064 
1, 0, 1, 1277.840, 143.326, 6150.6830, 160.064 
1, 0, 1, 1295.210, 143.692, 6151.9929, 160.064 
1, 0, 1, 1322.870, 144.251, 6154.0682, 160.064 
1, 0, 1, 1338.560, 144.556, 6155.2385, 160.064 
1, 0, 1, 1342.940, 144.640, 6155.5810, 160.064 
1, 0, 1, 1363.170, 145.017, 6157.0878, 160.064 
1, 0, 1, 1420.790, 146.012, 6161.3534, 160.064 
1, 0, 1, 1463.270, 146.670, 6164.4796, 160.064 
1, 0, 1, 1536.520, 147.654, 6169.8221, 160.064 
1, 0, 1, 1541.460, 147.714, 6170.1740, 160.064 
1, 0, 1, 1570.450, 148.047, 6172.2778, 160.064 
1, 0, 1, 1581.890, 148.170, 6173.0964, 160.064 
1, 0, 1, 1656.360, 148.861, 6178.4315, 160.064 
1, 0, 1, 1688.340, 149.099, 6180.7050, 160.064 
1, 0, 1, 1715.520, 149.273, 6182.6217, 160.064 
1, 0, 1, 1779.940, 149.582, 6187.1350, 160.064 
1, 0, 1, 1794.160, 149.630, 6188.1251, 160.064 
1, 0, 1, 1808.900, 149.673, 6189.1449, 160.064 
1, 0, 1, 1848.820, 149.749, 6191.9053, 160.064 
1, 0, 1, 1877.130, 149.767, 6193.8563, 160.064 
1, 0, 1, 1914.380, 149.746, 6196.3965, 160.064 
1, 0, 1, 1941.190, 149.699, 6198.2227, 160.064 
1, 0, 1, 1973.900, 149.603, 6200.4325, 160.064 
1, 0, 1, 1983.920, 149.565, 6201.1002, 160.064 
1, 0, 1, 2019.490, 149.398, 6203.4925, 160.064 
1, 0, 1, 2046.070, 149.239, 6205.2561, 160.064 
2, 0, 1, 1112.820, 219.940, 6138.6465, 240.561 
2, 0, 1, 1270.220, 223.706, 6150.6830, 240.561 
2, 0, 1, 1287.530, 224.071, 6151.9929, 240.561 
2, 0, 1, 1315.180, 224.632, 6154.0682, 240.561 
2, 0, 1, 1321.050, 224.748, 6154.5162, 240.561 
2, 0, 1, 1330.870, 224.940, 6155.2385, 240.561 
2, 0, 1, 1335.190, 225.023, 6155.5810, 240.561 
2, 0, 1, 1355.350, 225.403, 6157.0878, 240.561 
2, 0, 1, 1412.850, 226.413, 6161.3534, 240.561 
2, 0, 1, 1424.060, 226.596, 6162.1700, 240.561 
2, 0, 1, 1455.370, 227.086, 6164.4796, 240.561 
2, 0, 1, 1528.430, 228.096, 6169.8221, 240.561 
2, 0, 1, 1533.250, 228.156, 6170.1740, 240.561 
2, 0, 1, 1562.370, 228.501, 6172.2778, 240.561 
2, 0, 1, 1573.780, 228.628, 6173.0964, 240.561 
2, 0, 1, 1648.100, 229.339, 6178.4315, 240.561 
2, 0, 1, 1668.220, 229.497, 6179.8488, 240.561 
2, 0, 1, 1680.080, 229.583, 6180.7050, 240.561 
2, 0, 1, 1707.180, 229.761, 6182.6217, 240.561 
2, 0, 1, 1771.350, 230.078, 6187.1350, 240.561 
2, 0, 1, 1785.650, 230.128, 6188.1251, 240.561 
2, 0, 1, 1800.110, 230.172, 6189.1449, 240.561 
2, 0, 1, 1840.130, 230.256, 6191.9053, 240.561 
2, 0, 1, 1868.470, 230.283, 6193.8563, 240.561 
2, 0, 1, 1889.880, 230.287, 6195.3210, 240.561 
2, 0, 1, 1905.470, 230.280, 6196.3965, 240.561 
2, 0, 1, 1932.420, 230.250, 6198.2227, 240.561 
2, 0, 1, 1965.260, 230.185, 6200.4325, 240.561 
2, 0, 1, 1974.860, 230.161, 6201.1002, 240.561 
2, 0, 1, 2010.560, 230.047, 6203.4925, 240.561 
2, 0, 1, 2046.240, 229.903, 6205.8599, 240.561 
3, 0, 2, 1101.600, 333.392, 6138.6465, 354.306 
3, 0, 2, 1258.710, 337.239, 6150.6830, 354.306 
3, 0, 2, 1275.980, 337.607, 6151.9929, 354.306 
3, 0, 2, 1303.520, 338.173, 6154.0682, 354.306 
